type,instnm,zip,fips,lon,lat,enroltot,frlpct,csr,magnet,charter,advise_org_1,advise_org_2,advise_org_3,advise_org_4,advise_org_5,advise_org_6,advise_org_7,advise_div_1,advise_div_2,advise_div_3,advise_div_4,advise_div_5,advise_div_6,advise_div_7,advise_tri_1,advise_tri_2,advise_tri_3,advise_tri_4,advise_tri_5,advise_web_1,advise_web_2,advise_web_3,advise_web_4,advise_web_5,advise_web_6,advise_web_7
high school,Herbert Hoover High,NA,6,-119.76999,36.817799,1888,81,315,1,0,TRIO,NA,NA,NA,NA,NA,NA,TRIO: Fresno City College,NA,NA,NA,NA,NA,NA,Upward Bound,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
high school,Mclane High,NA,6,-119.75677,36.774162,1927,94,321,1,0,TRIO,NA,NA,NA,NA,NA,NA,TRIO: Fresno City College,NA,NA,NA,NA,NA,NA,Upward Bound,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
high school,Roosevelt High,NA,6,-119.75295,36.742363,2143,89,357,1,0,TRIO,NA,NA,NA,NA,NA,NA,TRIO: Fresno City College,NA,NA,NA,NA,NA,NA,Upward Bound,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
high school,School of Unlimited Learning,NA,6,-119.78577,36.73571,192,92,96,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
high school,Sunnyside High,NA,6,-119.71667,36.733547,3100,89,388,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
high school,Carter G. Woodson Public Charter,NA,6,-119.76857,36.781071,367,99,204,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
high school,Erma Duncan Polytechnical High,NA,6,-119.75205,36.784119,1057,90,529,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
high school,Sierra Charter,NA,6,-119.72975,36.767921,623,76,623,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
high school,University High,NA,6,-119.74805,36.809711,497,11,249,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
high school,Phillip J Patino School of Entrepreneurship,NA,6,-119.78717,36.769524,NA,75,484.01874490627546,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
high school,Buena Park High,NA,6,-117.97835,33.861496,1933,80,483,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
high school,Fullerton Union High,NA,6,-117.92191,33.875637,2185,57,546,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
high school,La Habra High,NA,6,-117.95681,33.937016,2242,47,561,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
high school,Sonora High,NA,6,-117.92525,33.927174,1864,46,548,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
high school,Sunny Hills High,NA,6,-117.95378,33.884514,2293,27,498,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
high school,Troy High,NA,6,-117.89439,33.880589,2722,21,619,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
high school,Galt High,NA,6,-121.29862,38.256466,976,72,488,1,0,Early Academic Outreach Program,NA,NA,NA,NA,NA,NA,UC Davis EAOP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://eaop.ucdavis.edu/index.html,NA,NA,NA,NA,NA,NA
high school,Liberty Ranch High,NA,6,-121.27902,38.286049,1195,48,598,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
high school,Bolsa Grande High,NA,6,-117.96484,33.761055,1997,69,499,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
high school,Garden Grove High,NA,6,-117.93728,33.778202,2479,60,496,0,0,College Advising Corps,NA,NA,NA,NA,NA,NA,CAC: University of Southern California,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://cerpp.usc.edu/college-advising-program/,NA,NA,NA,NA,NA,NA
high school,La Quinta High,NA,6,-117.94879,33.737103,2162,61,541,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
high school,Los Amigos High,NA,6,-117.92693,33.722275,1746,82,437,0,0,College Advising Corps,NA,NA,NA,NA,NA,NA,CAC: University of Southern California,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://cerpp.usc.edu/college-advising-program/,NA,NA,NA,NA,NA,NA
